Abreviatura,Significado,Palabra
AC,Avenida_calle,"AVENIDA K, AVENIDA CALLE, Avenida Calle"
AD,Administración,
ADL,Adelante,
AER,Aeropuerto,"AERP., AERO, Aeropuerto, AEROP, Aeropt, AEROP., aeropuerto, AEROPUERTO, Aerop"
AG,Agencia,
AGP,Agrupación,"AGRUPACIÓN, AGRUPACION"
AK,Avenida_carrera,"AK., Av. Cra, av. Kr, Avenida Cra, Av Cr, Av C, AV KR, AK CRA, AV.CRA, Av. Cra., AVCARRERA, ak, avenida carrera, AV CRA, avenida cra, AVCRA, AVD CRA, ak., Av cr, Avenida Carrera, AV KRA, Av crr, AV CARRERA, Avenida Kra, Av cra, AVAK, AV CR, Ave Cra, Ave.Cra"
AL,Altillo,
ALD,Al_lado,
ALM,Almacén,ALMACEN
AP,Apartamento,"Ap., AP., APAR, APto., APT., APARTAME, APTO, Apartamen, Apartamento, apto, APARTAMENTO, APTO-, APTOS, APT, APARTAMENTOS"
APTDO,Apartado,"APARTADO, APTOS, APARTADA"
ATR,Atrás,
AUT,Autopista,"aut, AUTO, AUTO., AU, AUTOP, AUTONORTE, AUTOPISTA, Aut, Auto., AUTP, Aut. AUT., AUTOPIASTA, AUTP.,, AUTOP., Autopista, autopista"
AV,Avenida,"AV., AVD., Ave., ave, avenida, -AV, av, AVE., Av., AVDA, AVENIDA, Avd, Avenida, AVE, AVENIDAD, AVD, AVEN, Avda, avd, AV-, AVENDIA"
AVIAL,Anillo_vial,"ANL, ANILLOVIAL, ANILLO VIAL"
BG,Bodega,"Bodega, BOD, BDG, BODEG, BODEGA"
BL,Bloque,"BLQ, bloq, Bloque, BLOQUE, Blq"
BLV,Boulevard,
BRR,Barrio,"BAARIO, BR., Barrio, BARRIO, B/, barrio, BR"
C,Corregimiento,"CORREG., CORR, CORREG, CORREGIMIENT, CRR, CGTO, Cgto, CORREGIMIENTO"
CA,Casa,"CS, cs, Casa, CASA"
CAS,Caserío,
CC,Centro_comercial,"CCO, C.CIAL, centro comercial, Centro comercial, CENTRO COMERCIAL, Centro Comercial, C.C, Centro Comercia, CENTRO COMERCIA, CENTRO COME, Cc, CENTRO C, CCIAL"
CD,Ciudadela,CIUDADELA
CEL,Célula,
CEN,Centro,"Centro, CTO, CENTRO, CTRO"
CIR,Circular,CIR.
CL,Calle,"CALL, CALLE., Cl, -CL., cl, CALE, C L L, -CALLE, clle, Callle, CALLE, -Cll,, callle, -C L, cale, cll, CALLA, CLLES, Calle, call, CSALL E, Calle., CALL E, CALLAE, CL., CLE, CALLE-, CLE., CLL, CLLE, calle, CALLÁ, Cll"
CLJ,Callejón,CALLEJON
CN,Camino,
CON,Conjunto_residencial,"Conjunto r, CD, CONJ RESID"
CONJ,Conjunto,"CONJUNT, CONJUNTO, CON, CONJ."
CR,Carrera,"CARREREA, CARA, CARRA, cra, Crr, CAR, CARRERAS, KARRERA, CARRER, CARRE, K, CARRERA, Cr., carr., kr., karrera, CRRA, KRA, CRA., Carra, KRR, Cra., CR., CARREARA, KR, CARRRA, -CARRERA, kra, car, cre, CARERA, Cra, CARERRA, CRRERA., carrrera, carreara, Carrera, carrera, CRR, crr, carrea, AC CRA, CRF, CRA, cr, CR, CVRA, carrerra"
CRT,Carretera,"CARRARERA, ca, CTA, CRRE, CARRET, CARRETERA, CT"
CRV,Circunvalar,"Circunvalar, CIRCUN, CIRCUMBALAR, CIRCUNVALAR, Crv,"
CS,Consultorio,"CO, CONS, CONSULTORIO"
DG,Diagonal,"DIAG., Diagonal, DIAG, DIAGONAL, diagonal, DI, dig, Dg., diagonal., digonal, DIG, diagomal, Diagona"
DP,Depósito,
DPTO,Departamento,"DP, DA"
DS,Depósito_sótano,
ED,Edificio,"EDIF, ED., EDF, EDIFI, EDI, EDIFICIO"
EN,Entrada,"ENTRADA, ENTR., ENTRE, Entrada"
ES,Escalera,
ESQ,Esquina,"ESQ., ESQUI, esqina, ESQUINA, Esquina"
ESTE,Este,"Este, este"
ET,Etapa,"ETAPA, ETP"
EX,Exterior,
FCA,Finca,"FC, Finca, FINCA, finca"
GJ,Garaje,
GS,Garaje_sótano,
GT,Glorieta,
HC,Hacienda,"hacienda, HACIENDA"
HG,Hangar,
IN,Interior,"INT, Interior, Int, INTERIOR, int"
IP,Inspección_de_Policía,
IPD,Inspección_Departamental,
IPM,Inspección_Municipal,
KM,Kilómetro,"KL, K.M, Kilónmetro, km., KILOMETRO, KMS, Kilometro"
LC,Local,"LOC., Locales, LOCAL, L, LO, local, Local, LOC, Lc"
LM,Local_mezzanine,
LT,Lote,"LOT, Lote, LTE, LOTES, lote, LOTE"
MD,Módulo,"MDL, MODULO"
MJ,Mojón,
MLL,Muelle,
MN,Mezzanine,
MZ,Manzana,"MANZANA, Manzana, MZ., MANZ, M"
